Date,Error
2014-01-01,0
2014-01-02,14
2014-01-03,112
2014-01-04,0
2014-01-05,0
2014-01-06,58
2014-01-07,29
2014-01-08,22
2014-01-09,21
2014-01-10,35
2014-01-11,0
2014-01-12,0
2014-01-13,42
2014-01-14,13
2014-01-15,30
2014-01-16,40
2014-01-17,3
2014-01-18,0
2014-01-19,0
2014-01-20,41
2014-01-21,16
2014-01-22,44
2014-01-23,84
2014-01-24,97
2014-01-25,27
2014-01-26,65
2014-01-27,87
2014-01-28,24
2014-01-29,21
2014-01-30,9
2014-01-31,4
2014-02-01,7
2014-02-02,0
2014-02-03,8
2014-02-04,27
2014-02-05,36
2014-02-06,27
2014-02-07,46
2014-02-08,35
2014-02-09,13
2014-02-10,41
2014-02-11,13
2014-02-12,0
2014-02-13,0
2014-02-14,0
2014-02-15,0
2014-02-16,0
2014-02-17,0
2014-02-18,1
2014-02-19,10
2014-02-20,13
2014-02-21,65
2014-02-22,0
2014-02-23,0
2014-02-24,13
2014-02-25,0
2014-02-26,34
2014-02-27,36
2014-02-28,48
2014-03-01,71
2014-03-02,128
2014-03-03,83
2014-03-04,104
2014-03-05,66
2014-03-06,37
2014-03-07,128
2014-03-08,87
2014-03-09,136
2014-03-10,64
2014-03-11,138
2014-03-12,43
2014-03-13,60
2014-03-14,87
2014-03-15,56
2014-03-16,34
2014-03-17,38
2014-03-18,56
2014-03-19,49
2014-03-20,54
2014-03-21,43
2014-03-22,45
2014-03-23,72
2014-03-24,52
2014-03-25,39
2014-03-26,23
2014-03-27,33
2014-03-28,68
2014-03-29,49
2014-03-30,33
2014-03-31,43
2014-04-01,32
2014-04-02,59
2014-04-03,37
2014-04-04,45
2014-04-05,72
2014-04-06,84
2014-04-07,28
2014-04-08,67
2014-04-09,85
2014-04-10,47
2014-04-11,65
2014-04-12,43
2014-04-13,44
2014-04-14,66
2014-04-15,62
2014-04-16,42
2014-04-17,52
2014-04-18,74
2014-04-19,46
2014-04-20,123
2014-04-21,43
2014-04-22,65
2014-04-23,35
2014-04-24,41
2014-04-25,88
2014-04-26,68
2014-04-27,53
2014-04-28,40
2014-04-29,29
2014-04-30,44
2014-05-01,40
2014-05-02,93
2014-05-03,74
2014-05-04,48
2014-05-05,36
2014-05-06,32
2014-05-07,57
2014-05-08,56
2014-05-09,108
2014-05-10,56
2014-05-11,58
2014-05-12,34
2014-05-13,43
2014-05-14,94
2014-05-15,47
2014-05-16,29
2014-05-17,57
2014-05-18,56
2014-05-19,48
2014-05-20,88
2014-05-21,65
2014-05-22,64
2014-05-23,77
2014-05-24,140
2014-05-25,35
2014-05-26,37
2014-05-27,61
2014-05-28,104
2014-05-29,147
2014-05-30,80
2014-05-31,83
2014-06-01,76
2014-06-02,61
2014-06-03,66
2014-06-04,39
2014-06-05,49
2014-06-06,37
2014-06-07,13
2014-06-08,30
2014-06-09,77
2014-06-10,25
2014-06-11,1
2014-06-12,158
2014-06-13,40
2014-06-14,24
2014-06-15,21
2014-06-16,22
2014-06-17,27
2014-06-18,29
2014-06-19,57
2014-06-20,86
2014-06-21,85
2014-06-22,36
2014-06-23,19
2014-06-24,35
2014-06-25,58
2014-06-26,30
2014-06-27,53
2014-06-28,18
2014-06-29,40
2014-06-30,38
2014-07-01,40
2014-07-02,32
2014-07-03,20
2014-07-04,25
2014-07-05,14
2014-07-06,21
2014-07-07,16
2014-07-08,13
2014-07-09,26
2014-07-10,37
2014-07-11,21
2014-07-12,45
2014-07-13,26
2014-07-14,25
2014-07-15,52
2014-07-16,39
2014-07-17,14
2014-07-18,19
2014-07-19,39
2014-07-20,39
2014-07-21,34
2014-07-22,33
2014-07-23,28
2014-07-24,16
2014-07-25,52
2014-07-26,32
2014-07-27,41
2014-07-28,86
2014-07-29,36
2014-07-30,32
2014-07-31,42
2014-08-01,73
2014-08-02,36
2014-08-03,40
2014-08-04,26
2014-08-05,49
2014-08-06,46
2014-08-07,43
2014-08-08,52
2014-08-09,28
2014-08-10,49
2014-08-11,56
2014-08-12,58
2014-08-13,40
2014-08-14,44
2014-08-15,52
2014-08-16,23
2014-08-17,29
2014-08-18,42
2014-08-19,33
2014-08-20,33
2014-08-21,27
2014-08-22,33
2014-08-23,31
2014-08-24,22
2014-08-25,93
2014-08-26,52
2014-08-27,36
2014-08-28,86
2014-08-29,46
2014-08-30,21
2014-08-31,41
2014-09-01,45
2014-09-02,53
2014-09-03,84
2014-09-04,38
2014-09-05,19
2014-09-06,18
2014-09-07,21
2014-09-08,23
2014-09-09,47
2014-09-10,67
2014-09-11,38
2014-09-12,85
2014-09-13,20
2014-09-14,18
2014-09-15,34
2014-09-16,23
2014-09-17,18
2014-09-18,26
2014-09-19,17
2014-09-20,19
2014-09-21,27
2014-09-22,20
2014-09-23,36
2014-09-24,22
2014-09-25,23
2014-09-26,63
2014-09-27,15
2014-09-28,33
2014-09-29,24
2014-09-30,30
2014-10-01,55
2014-10-02,33
2014-10-03,62
2014-10-04,15
2014-10-05,26
2014-10-06,27
2014-10-07,35
